name,description,address,postal_code
Pasir Ris Street 11,HDB Public Shelter,Blk 136 Pasir Ris Street 11 #01-233 S5101,510136
Pasir Ris Street 11,HDB Public Shelter,Blk 138 Pasir Ris St 11 #01-207 S5101,510138
Pasir Ris St 13,HDB Public Shelter,Blk 148 Pasir Ris St 13 #01-24 S5101,510148
Pasir Ris St 13,HDB Public Shelter,Blk 156 Pasir Ris St 13 #01-35 S5101,510156
Pasir Ris St 11,HDB Public Shelter,Blk 185 Pasir Ris St 11 #01-60 S5101,510185
Pasir Ris St 12,HDB Public Shelter,Blk 192 Pasir Ris Street 12 #01-06 S5101,510192
Pasir Ris St 12,HDB Public Shelter,Blk 194 Pasir Ris Street 12 #01-76 S5101,510194
Pasir Ris St 21,HDB Public Shelter,Blk 207 Pasir Ris St 21 #01-356 S5102,510207
Pasir Ris St 21,HDB Public Shelter,Blk 212 Pasir Ris St 21 #01-226 S5102,510212
Pasir Ris St 21,HDB Public Shelter,Blk 219/220 Pasir Ris St 21 #01-170 S5102,510220
Pasir Ris St 21,HDB Public Shelter,Blk 221 Pasir Ris St 21 #01-116 S5102,510221
Pasir Ris St 21,HDB Public Shelter,Blk 226 Pasir Ris St 21 #01-76 S5102,510226
Pasir Ris St 21,HDB Public Shelter,Blk 230 Pasir Ris St 21 #01-44 S5102,510230
Pasir Ris Drive 4,HDB Public Shelter,Blk 233 Pasir Ris Drive 4 #01-490 S5102,510233
Pasir Ris St 21,HDB Public Shelter,Blk 247 Pasir Ris St 21 #01-145 S5102,510247
Pasir Ris St 21,HDB Public Shelter,Blk 252 Pasir Ris St 21 #01-203 S5102,510252
Pasir Ris St 21,HDB Public Shelter,Blk 273 Pasir Ris Street 21 #01-498 S5102,510273
Pasir Ris Dr 6,HDB Public Shelter,Blk 448 Pasir Ris Dr 6 #B1-150 S5104,510448
Pasir Ris Dr 6,HDB Public Shelter,Blk 450 Pasir Ris Dr 6 #B1-164 S5104,510450
Pasir Ris Dr 6,HDB Public Shelter,Blk 451 Pasir Ris Dr 6 #B1-186 S5104,510451
Pasir Ris Dr 6,HDB Public Shelter,Blk 452 Pasir Ris Dr 6 #B1-232 S5104,510452
Pasir Ris Dr 6,HDB Public Shelter,Blk 453 Pasir Ris Drive 6 #B1-222 S5104,510453
Pasir Ris Dr 6,HDB Public Shelter,Blk 454 Pasir Ris Dr 6 #B1-210 S5104,510454
Pasir Ris Dr 6,HDB Public Shelter,Blk 472 Pasir Ris Dr 6 #B1-458 S5104,510472
Pasir Ris Dr 6,HDB Public Shelter,Blk 473 Pasir Ris Dr 6 #B1-498 S5104,510473
Pasir Ris Dr 6,HDB Public Shelter,Blk 474 Pasir Ris Dr 6 #B1-568 S5104,510474
Pasir Ris Dr 6,HDB Public Shelter,Blk 475 Pasir Ris Dr 6 #B1-544 S5104,510475
Pasir Ris Dr 6,HDB Public Shelter,Blk 476 Pasir Ris Dr 6 #B1-538 S5104,510476
Pasir Ris Dr 6,HDB Public Shelter,Blk 477 Pasir Ris Dr 6 #B1-520 S5104,510477
Pasir Ris Dr 4,HDB Public Shelter,Blk 482 Pasir Ris Dr 4 #B1-395 S5104,510482
Pasir Ris Dr 6,HDB Public Shelter,Blk 483 Pasir Ris Dr 6 #B1-477 S5104,510483
Pasir Ris St 51,HDB Public Shelter,Blk 560 Pasir Ris St 51 #01-235 S5105,510560
Pasir Ris St 52,HDB Public Shelter,Blk 501 Pasir Ris St 52 #01-213 S5105,510561
Pasir Ris St 52,HDB Public Shelter,Blk 506 Pasir Ris St 52 #01-189 S5105,510506
Pasir Ris St 52,HDB Public Shelter,Blk 515 Pasir Ris St 52 #01-81 S5105,510515
Pasir Ris St 52,HDB Public Shelter,Blk 520 Pasir Ris St 52 #01-13 S5105,510520
Pasir Ris St 53,HDB Public Shelter,Blk 570 Pasir Ris St 53 #01-64 S5105,510570
Pasir Ris St 53,HDB Public Shelter,Blk 571 Pasir Ris Street 53 #01-18 S5105,510571
Pasir Ris St 53,HDB Public Shelter,Blk 585 Pasir Ris Street 53 #01-43 S5105,510585
Elias Road,HDB Public Shelter,Blk 612 Elias Road #01-138 S5106,510612
Elias Road,HDB Public Shelter,Blk 614 Elias Road #01-120 S5106,510614
Elias Road,HDB Public Shelter,Blk 615 Elias Road #01-102 S5106,510615
Pasir Ris Dr 3,HDB Public Shelter,Blk 626 Pasir Ris Dr 3 #01-302 S5106,510626
Pasir Ris Dr 3,HDB Public Shelter,Blk 631 Pasir Ris Dr 3 #01-388 S5106,510631
Pasir Ris Dr 1,HDB Public Shelter,Blk 634 Pasir Ris Dr 1 #01-608 S5106,510634
Pasir Ris Dr 1,HDB Public Shelter,Blk 639 Pasir Ris Dr 1 #01-536 S5106,510639
Pasir Ris Dr 10,HDB Public Shelter,Blk 644 Pasir Ris Dr 10 #01-20 S5106,510644
Pasir Ris Dr 10,HDB Public Shelter,Blk 706 Pasir Ris Dr 10 #01-157 S5107,510706
Pasir Ris St 72,HDB Public Shelter,Blk 716 Pasir Ris St 72 #01-09 S5107,510716
